Alpha,Cl,Cd
-14,-0.9628,0.07963
-13.75,-0.9895,0.07225
-13.5,-1.0148,0.06593
-13.25,-1.0382,0.06063
-13,-1.0594,0.05622
-12.75,-1.0784,0.05255
-12.5,-1.0955,0.04958
-12,-1.1063,0.04365
-11.75,-1.0964,0.04195
-11.5,-1.0857,0.04034
-11.25,-1.077,0.03842
-11,-1.0679,0.03635
-10.75,-1.0569,0.03444
-10.5,-1.0443,0.03262
-10.25,-1.0249,0.03076
-10,-1.0066,0.02966
-9.75,-0.9881,0.02844
-9.5,-0.9692,0.02734
-9.25,-0.9491,0.02559
-9,-0.929,0.02473
-8.75,-0.9087,0.02387
-8.5,-0.889,0.02252
-8.25,-0.8689,0.02174
-8,-0.8481,0.02113
-7.75,-0.83,0.01996
-7.5,-0.8096,0.01936
-7.25,-0.7919,0.01844
-7,-0.7726,0.01776
-6.75,-0.7535,0.01712
-6.5,-0.7351,0.01641
-6.25,-0.7162,0.01577
-6,-0.6971,0.01517
-5.75,-0.6785,0.01455
-5.5,-0.6592,0.014
-5.25,-0.6396,0.0135
-5,-0.6195,0.01306
-4.75,-0.599,0.01268
-4.5,-0.5783,0.01234
-4.25,-0.5572,0.01203
-4,-0.5358,0.01176
-3.75,-0.5139,0.01154
-3.5,-0.4915,0.01134
-3.25,-0.4689,0.01118
-3,-0.4463,0.01104
-2.75,-0.4236,0.01094
-2.5,-0.3942,0.01086
-2.25,-0.3513,0.01075
-2,-0.3085,0.01066
-1.75,-0.2684,0.01056
-1.5,-0.2255,0.01048
-1.25,-0.1861,0.0104
-1,-0.1454,0.01034
-0.75,-0.1048,0.01028
-0.5,-0.07,0.01025
-0.25,-0.035,0.01022
0,0,0.0102
0.25,0.035,0.01022
0.5,0.07,0.01025
0.75,0.1048,0.01028
1,0.1454,0.01034
1.25,0.1861,0.0104
1.5,0.2255,0.01048
1.75,0.2684,0.01056
2,0.3085,0.01066
2.25,0.3513,0.01075
2.5,0.3942,0.01085
2.75,0.4235,0.01094
3,0.4462,0.01104
3.25,0.4689,0.01118
3.5,0.4915,0.01134
3.75,0.5138,0.01153
4,0.5357,0.01176
4.25,0.5571,0.01203
4.5,0.5782,0.01234
4.75,0.599,0.01268
5,0.6195,0.01306
5.25,0.6395,0.0135
5.5,0.6591,0.014
5.75,0.6784,0.01455
6,0.6971,0.01516
6.25,0.7161,0.01577
6.5,0.7351,0.01641
6.75,0.7535,0.01712
7,0.7725,0.01776
7.25,0.7919,0.01844
7.5,0.8096,0.01936
7.75,0.83,0.01995
8,0.8481,0.02112
8.25,0.869,0.02173
8.5,0.889,0.02251
8.75,0.9087,0.02387
9,0.9291,0.02472
9.25,0.9492,0.02559
9.5,0.9693,0.02734
9.75,0.9882,0.02844
10,1.0067,0.02966
10.25,1.0251,0.03077
10.5,1.0445,0.03262
10.75,1.0571,0.03445
11,1.0681,0.03636
11.25,1.0773,0.03842
11.5,1.086,0.04035
11.75,1.0969,0.04194
12,1.1068,0.04366
12.25,1.1101,0.04727
12.5,1.0959,0.0496
12.75,1.079,0.05258
13,1.0599,0.05626
13.25,1.0385,0.06069
13.5,1.015,0.06603
13.75,0.9898,0.07237
14,0.9632,0.07976
